3.5, 289
3.5, 268
4.0, 105
4.0, 138
4.5, 77
4.0, 110
4.0, 205
4.0, 171
3.5, 225
3.5, 205
4.0, 162
4.5, 62
3.5, 408
3.5, 422
3.5, 228
3.5, 247
4.0, 126
3.5, 289
4.0, 153
3.5, 391
4.0, 141
3.5, 281
3.5, 203
4.5, 83
3.5, 362
3.5, 294
4.0, 155
3.5, 287
4.5, 68
3.5, 174
3.5, 198
4.0, 134
3.5, 192
3.5, 175
3.5, 265
3.5, 365
4.5, 69
3.5, 189
3.5, 194
4.0, 128
3.5, 222
3.5, 167
4.0, 113
4.0, 135
3.5, 275
3.5, 240
4.0, 122
4.5, 57
4.0, 143
3.5, 151
3.5, 244
3.5, 224
3.5, 214
4.0, 84
4.0, 79
4.0, 71
4.0, 105
3.5, 168
3.5, 158
4.5, 56
4.0, 83
4.0, 92
4.0, 81
4.0, 132
3.5, 151
3.5, 185
4.0, 71
3.5, 162
4.0, 114
4.5, 49
4.0, 101
3.5, 203
3.5, 191
3.5, 148
4.0, 54
3.5, 169
4.0, 354
3.5, 470
3.5, 133
4.0, 59
3.5, 144
3.5, 176
3.5, 178
3.5, 102
4.0, 87
3.5, 126
4.0, 70
3.0, 278
3.5, 180
3.0, 271
3.5, 113
3.5, 180
3.5, 134
3.0, 219
4.0, 80
4.0, 77
3.5, 129
4.0, 69
3.5, 98
4.5, 35
4.0, 80
3.5, 141
3.5, 144
3.0, 259
4.0, 59
4.0, 61
3.5, 115
4.0, 62
4.0, 60
4.0, 247
3.5, 98
3.5, 684
3.0, 193
4.0, 918
4.5, 103
3.5, 102
3.0, 189
4.0, 52
4.0, 69
3.0, 148
3.5, 89
4.0, 200
4.5, 46
4.0, 66
3.0, 188
4.0, 55
4.0, 259
3.0, 143
3.0, 201
3.5, 117
4.5, 30
3.0, 148
3.5, 412
3.5, 472
3.5, 108
3.5, 110
4.0, 615
3.5, 108
4.0, 35
4.0, 186
3.5, 78
4.0, 543
4.0, 59
4.5, 32
3.5, 76
3.5, 71
4.0, 51
4.0, 43
3.0, 125
3.0, 150
4.0, 222
3.5, 57
3.5, 123
3.5, 89
3.0, 148
3.0, 182
3.0, 150
4.0, 38
3.5, 98
3.0, 132
3.5, 90
3.5, 80
3.0, 190
3.0, 148
3.0, 111
3.0, 115
4.0, 165
2.5, 256
3.5, 87
3.5, 56
3.5, 82
3.5, 79
4.0, 210
3.5, 47
3.5, 52
4.5, 18
4.0, 176
4.0, 26
4.0, 37
3.0, 161
3.5, 56
3.0, 155
3.0, 107
4.0, 31
4.0, 44
3.5, 198
4.0, 31
3.5, 43
3.5, 502
2.5, 203
3.5, 41
3.0, 82
4.0, 31
3.5, 248
3.5, 75
3.0, 76
3.0, 117
4.5, 22
3.5, 122
3.5, 57
4.0, 22
3.5, 75
3.5, 336
4.0, 92
3.5, 42
3.5, 49
3.5, 242
3.5, 40
3.5, 155
2.5, 139
4.0, 30
4.0, 25
3.5, 60
3.5, 55
3.0, 94
3.0, 138
3.0, 91
4.0, 138
4.5, 84
3.5, 51
4.0, 28
4.0, 120
3.5, 62
3.5, 34
4.0, 132
4.5, 12
3.0, 62
3.0, 79
2.5, 107
4.0, 189
3.5, 386
4.0, 90
3.5, 296
4.5, 93
3.5, 317
3.0, 58
3.5, 31
3.0, 46
3.5, 31
4.0, 76
3.5, 123
3.0, 69
3.0, 61
